Command,commandEncoding,Date,Votes,UserID
"leaving screen","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:36:01",1,4
suiciding,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:37:15",1,1
catching,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:37:40",2,3
speak,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:38:06",1,3
stare,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:38:11",1,1
dance,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:38:56",1,3
"trip over","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:39:08",1,1
flip,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:39:12",1,1
sleep,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:40:17",2,3
swim,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:41:07",1,3
"program ai","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:41:14",1,5
"standing still","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:43:58",5,4
stroking,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:44:08",1,1
"being killed","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:44:55",1,3
panick,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:45:10",1,3
walking,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:46:06",15,4
woodcutting,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:46:22",1,1
"holding still","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:47:40",2,4
touching,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:47:41",3,3
competing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:48:04",1,1
"dodging the ball","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I3
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:52:22",2,4
rolling,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:54:33",12,3
trolling,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:54:58",1,1
"act like this is like hell fo","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I7
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:56:30",1,5
wiggle,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:56:48",1,1
"praised the sun","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I3
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:56:59",2,3
"Win round two","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I3
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:57:03",1,1
standing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:57:46",6,3
murdering,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:57:59",1,1
"do yoga","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 16:58:01",1,4
"beeing cute","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:01:44",1,4
nagging,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:03:21",1,1
hidding,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:03:43",2,3
"Stealing Robots","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:05",1,1
Torching,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:15",1,1
"being stupid","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:17",1,4
Torturing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:18",1,1
voting,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:24",1,3
"Sky Diving","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:04:35",1,1
scratching,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:08:08",2,3
torturing,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:10:08",1,1
"being lazy","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:12:21",1,4
"doing nothing","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I2
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:14:08",2,4
spawning,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:15:06",2,1
"moving from screen","cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I3
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:20:29",1,1
blinking,"cnumpy.core.multiarray
_reconstruct
p0
(cnumpy
ndarray
p1
(I0
tp2
c_codecs
encode
p3
(Vb
p4
Vlatin1
p5
tp6
Rp7
tp8
Rp9
(I1
(I1
I300
tp10
cnumpy
dtype
p11
(Vf8
p12
I0
I1
tp13
Rp14
(I3
V<
p15
NNNI-1
I-1
I0
tp16
bI00
g3
(V","2019-05-29 17:22:10",2,1
